"","Product","Price.Each"
"1","20in Monitor",109.99
"2","27in 4K Gaming Monitor",389.99
"3","27in FHD Monitor",149.99
"4","34in Ultrawide Monitor",379.99
"5","AA Batteries (4-pack)",3.84
"6","AAA Batteries (4-pack)",2.99
"7","Apple Airpods Headphones",150
"8","Bose SoundSport Headphones",99.99
"9","Flatscreen TV",300
"10","Google Phone",600
"11","iPhone",700
"12","LG Dryer",600
"13","LG Washing Machine",600
"14","Lightning Charging Cable",14.95
"15","Macbook Pro Laptop",1700
"16","ThinkPad Laptop",999.99
"17","USB-C Charging Cable",11.95
"18","Vareebadd Phone",400
"19","Wired Headphones",11.99
