"","WeekNum","OracleProf","KnnPresProf","KnnAvgProf","OracleOrdered","KnnPresOrdered","KnnAvgOrdered","XGB_Pres_Prof","totalcontr.x","LR_Profit","totalcontr.y","XGB_pt_prof","XGB_pt_contr","LR_pt_profit","LR_pt_totalcontr"
"1",147,57574282.3944176,57450005.6767133,57308903.3186409,144040.437974845,145276.048331157,143365.810896577,56050920.48,159274.2414,55461881.71,165163.9842,57458895.28,143745.9222,56379459.54,141029.037
"2",148,57036882.7986316,56775296.1183869,56992452.1410429,142697.045259991,145311.164676417,143137.591411441,55375755.68,159310.4985,54741834.97,165648.7505,56927848.6,143782.1793,56568398.68,141513.8033
"3",149,66815697.9205872,56912006.1557788,56882422.4967614,167148.957962561,142318.669784465,142243.167697442,65928278.73,164905.1246,65467077.42,180637.9765,59732604.61,149376.8054,62576748.38,156503.0294
"4",150,66213818.7516132,56933746.4722124,58344860.8463941,165645.426249122,142374.136182065,145907.169551339,65919182.47,164895.4457,64666771.91,181123.0356,59727667.9,149367.1265,62769243.6,156988.0884
"5",151,68126608.4322519,65367701.6436715,60234484.8680252,170426.572065382,163485.720580522,150632.955274165,65934453.45,164906.5224,66993667.07,181759.4532,59734416.42,149378.2032,63026832.82,157624.506
"6",152,68436509.1786916,65870292.4302584,62361463.2840297,171200.953060197,164741.080099561,155950.481177038,65937115.4,164908.2956,67332219.18,182244.8055,59735873.94,149379.9764,63222468.29,158109.8583
"7",153,68955568.7722308,67241258.3395867,64483507.0373461,172501.706847218,168178.273694212,161266.483162189,66031236.73,165143.1925,67980835.45,182250.4675,59829587.49,149614.8733,63224782.59,158115.5204
"8",154,67932153.9421527,67554734.5581676,66811047.4865297,169940.786214083,168982.187113507,167111.197457768,66028120.63,165144.1131,66652922.2,182736.1137,59828041.22,149615.7939,63416412.95,158601.1665
"9",155,69115222.3868971,67587578.3689697,67032378.9739484,172899.496202594,169045.773468747,167653.415134078,66034625.11,165150.4111,68083244.19,183221.9069,59832690.14,149622.0919,63612790.36,159086.9598
"10",156,68854125.6087404,68021088.0700325,67582884.1268192,172246.220395678,170141.722378158,169039.301322817,66032365.48,165146.9977,67693116.36,183859.0595,59831290.65,149618.6785,63866969.47,159724.1123
