WeekNum,OracleProf,KnnPresProf,KnnAvgProf,OracleOrdered,KnnPresOrdered,KnnAvgOrdered,,
147,2051397.16,2045924.04,2046892.94,143573.2271,142730.4716,142870.6955,,-968.90
148,2030915.59,2027474.63,2027470.23,142280.2782,141726.7243,142665.823,,4.40
149,2396749.11,2075234.19,2089423.77,166749.1581,140781.8526,141798.6717,,-14189.57
150,2374692.49,2078563.63,2139031.15,165223.9554,141098.048,145477.1268,,-60467.52
151,2445888.29,2097901.91,2210048.56,170028.9693,142174.1102,150225.6381,,-112146.66
152,2457938.52,2378639.01,2284312.50,170748.3499,162801.4614,155564.9684,,94326.52
153,2476917.76,2398416.27,2356846.43,172078.6183,164231.0762,160919.8226,,41569.85
154,2438649.37,2420134.03,2416718.21,169518.5878,167085.2408,166755.0213,,3415.81
155,2482920.93,2435654.09,2435948.57,172566.6636,167248.7674,167311.9478,,-294.48
156,2473409.52,2442691.27,2447691.97,171932.8759,168182.7495,168665.6111,,-5000.70
,,,,,,,,
,,,,,,,,
,,,,,,,,
